Image,x,y,w,h
bonnet.png,684,326,271,336
boot.png,73,363,141,267
fr-door.png,443,30,230,212
fr-fender.png,622,84,320,220
fr-headlight.png,70,1155,91,34
fr-mirror.png,40,1095,48,32
front-bumper.png,42,1180,374,85
lf-door.png,328,715,231,212
lf-fender.png,59,770,320,220
lf-headlight.png,295,1155,92,34
lf-mirror.png,368,1095,48,32
lr-door.png,526,712,207,224
lr-quarter-panel,674,788,271,140
lr-taillight.png,622,1122,92,52
rear-bumber.png,595,1182,340,68
rear-window.png,159,368,157,250
roof.png,299,380,283,221
rr-door.png,266,28,209,224
rr-quarter-panel.png,56,102,271,141
rr-taillight.png,820,1122,92,52
windscreen.png,576,350,147,279
rr-rim,194,181,105,99
rf-rim,713,181,105,99
lf-rim,182,866,105,99
lr-rim,701,866,105,99
rh-skirting,313,116,387,27
lh-skirting,300,922,387,27
